Res,Date,League,Home,Away,PSCA,AvgCH,home_points_last5_avg,PSCD,away_points_last5_avg,home_goals_scored_last5_avg,home_goals_conceded_last5_avg,away_goals_scored_last5_avg
1,2019-07-12,10,Augsburg,Unknown,3.07,2.51,0.0,3.06,0.0,0.0,0.0,0.0
1,2019-07-12,6,Albacete,Dynamo Moscow,2.37,3.33,0.0,2.99,0.0,0.0,0.0,0.0
2,2019-07-12,10,Midtjylland,Aston Villa,5.75,1.56,0.0,4.24,0.0,0.0,0.0,0.0
1,2019-07-13,10,Unknown,FC Botosani,3.49,2.24,0.0,3.14,0.0,0.0,0.0,0.0
1,2019-07-13,10,CFR Cluj,Unknown,8.64,1.49,0.0,4.09,0.0,0.0,0.0,0.0
2,2019-07-13,6,FK Rostov,Orenburg,4.01,2.06,0.0,2.97,0.0,0.0,0.0,0.0
2,2019-07-13,6,Dundee United,Dortmund,3.92,2.15,0.0,3.14,0.0,0.0,0.0,0.0
2,2019-07-13,6,Spartak Moscow,Sochi,7.33,1.41,0.0,4.63,0.0,0.0,0.0,0.0
2,2019-07-14,6,Zenit,Coventry,14.83,1.17,0.0,6.95,0.0,0.0,0.0,0.0
0,2019-07-14,10,Besiktas,Nordsjaelland,2.53,2.72,0.0,3.43,0.0,0.0,0.0,0.0
2,2019-07-14,10,Bournemouth,AZ Alkmaar,2.06,3.39,0.0,3.63,0.0,0.0,0.0,0.0
0,2019-07-14,10,Odense,FC Copenhagen,2.39,2.93,0.0,3.45,0.0,0.0,0.0,0.0
2,2019-07-14,10,FCSB,FC Hermannstadt,8.5,1.44,0.0,4.04,0.0,0.0,0.0,0.0
2,2019-07-14,10,Unknown,Unknown,8.09,1.43,0.0,4.46,0.0,0.0,0.0,0.0
2,2019-07-14,10,Sonderjyske,Randers FC,3.31,2.17,0.0,3.47,0.0,0.0,0.0,0.0
2,2019-07-14,10,Brondby,Silkeborg,7.44,1.38,0.0,5.28,0.0,0.0,0.0,0.0
2,2019-07-14,6,Krylya Sovetov,CSKA Moscow,1.83,4.77,0.0,3.24,0.0,0.0,0.0,0.0
2,2019-07-14,6,Akhmat Grozny,Krasnodar,2.25,3.39,0.0,3.29,0.0,0.0,0.0,0.0
1,2019-07-15,10,Unknown,Unknown,5.59,1.66,0.0,3.72,0.0,0.0,0.0,0.0
2,2019-07-15,10,Unknown,Din. Bucuresti,3.73,2.09,0.0,3.31,0.0,0.0,0.0,0.0
1,2019-07-15,10,Benfica,Aberdeen,1.84,3.96,0.0,3.87,0.0,0.0,0.0,0.0
1,2019-07-15,6,Lokomotiv Moscow,Rubin Kazan,7.35,1.55,0.0,3.63,0.0,0.0,0.0,0.0
2,2019-07-19,10,FC Copenhagen,Aberdeen,7.66,1.39,3.0,5.03,1.0,3.0,2.0,1.0
0,2019-07-19,9,Sion,Basel,1.61,5.2,0.0,4.38,0.0,0.0,0.0,0.0
0,2019-07-19,10,Unknown,Unknown,1.64,5.26,1.0,4.05,3.0,2.0,2.0,5.0
0,2019-07-19,10,FC Hermannstadt,Unknown,2.16,3.39,0.0,3.37,1.0,3.0,4.0,2.0
2,2019-07-20,10,FC Botosani,Augsburg,4.22,1.95,1.0,3.4,1.0,2.0,2.0,0.0
0,2019-07-20,9,St. Gallen,Luzern,2.23,2.93,0.0,3.78,0.0,0.0,0.0,0.0
1,2019-07-20,9,Thun,Unknown,3.16,2.17,0.0,3.62,0.0,0.0,0.0,0.0
2,2019-07-20,4,Atlas,Juarez,4.82,1.8,0.0,3.64,0.0,0.0,0.0,0.0
0,2019-07-20,6,Dortmund,Krasnodar,1.87,4.48,0.0,3.47,0.0,2.0,3.0,0.0
0,2019-07-20,6,Krylya Sovetov,Albacete,3.61,2.31,3.0,3.03,1.0,2.0,0.0,1.0
2,2019-07-20,6,CSKA Moscow,Orenburg,8.87,1.41,0.0,4.46,0.0,0.0,2.0,1.0
0,2019-07-20,4,Atl. San Luis,UNAM Pumas,3.5,2.19,0.0,3.31,0.0,0.0,0.0,0.0
0,2019-07-20,10,Unknown,CFR Cluj,1.69,5.25,0.0,3.67,1.0,2.0,3.0,1.0
0,2019-07-20,4,Puebla,Club Tijuana,2.96,2.54,0.0,3.15,0.0,0.0,0.0,0.0
1,2019-07-20,6,FK Rostov,Spartak Moscow,3.26,2.45,3.0,3.06,3.0,2.0,1.0,1.0
0,2019-07-20,4,Pachuca,Club Leon,2.78,2.42,0.0,3.59,0.0,0.0,0.0,0.0
2,2019-07-21,10,Midtjylland,Nordsjaelland,5.45,1.6,3.0,4.23,3.0,1.0,0.0,3.0
1,2019-07-21,4,Necaxa,Cruz Azul,2.14,3.4,0.0,3.36,0.0,0.0,0.0,0.0
2,2019-07-21,4,Tigres UANL,Bristol City,8.47,1.5,0.0,4.77,0.0,0.0,0.0,0.0
0,2019-07-21,4,Toluca,Queretaro,5.41,1.62,0.0,4.03,0.0,0.0,0.0,0.0
2,2019-07-21,4,Club America,Monterrey,3.89,2.06,0.0,3.48,0.0,0.0,0.0,0.0
0,2019-07-21,9,Zurich,Lugano,2.6,2.65,0.0,3.52,0.0,0.0,0.0,0.0
0,2019-07-21,10,Silkeborg,Besiktas,3.29,2.15,0.0,3.67,0.0,0.0,3.0,0.0
0,2019-07-21,6,Dynamo Moscow,Rubin Kazan,5.81,1.75,1.0,3.44,1.0,1.0,1.0,1.0
1,2019-07-21,10,Randers FC,Brondby,2.1,3.39,0.0,3.67,3.0,1.0,2.0,3.0
1,2019-07-21,10,Aston Villa,Benfica,5.92,1.6,0.0,4.06,1.0,0.0,1.0,1.0
1,2019-07-21,10,AZ Alkmaar,Sonderjyske,2.66,2.61,0.0,3.55,3.0,0.0,2.0,2.0
2,2019-07-21,6,Lokomotiv Moscow,Coventry,12.66,1.32,1.0,4.97,0.0,1.0,1.0,1.0
2,2019-07-21,6,Dundee United,Akhmat Grozny,2.77,2.77,3.0,3.06,3.0,3.0,2.0,1.0
2,2019-07-21,10,Unknown,Unknown,2.76,2.69,1.0,3.11,1.0,1.0,1.0,2.0
1,2019-07-21,9,Young Boys,Servette,6.84,1.39,0.0,5.35,0.0,0.0,0.0,0.0
0,2019-07-21,6,Sochi,Zenit,1.77,4.86,0.0,3.69,3.0,0.0,1.0,2.0
0,2019-07-21,10,Din. Bucuresti,Unknown,2.69,2.74,0.0,3.21,3.0,0.0,5.0,3.0
2,2019-07-22,4,Santos Laguna,Guadalajara Chivas,3.41,2.19,0.0,3.39,0.0,0.0,0.0,0.0
1,2019-07-22,10,Unknown,FCSB,1.66,5.32,1.0,3.83,3.0,0.0,0.0,4.0
2,2019-07-22,10,Odense,Bournemouth,5.74,1.51,0.0,4.63,3.0,2.0,3.0,2.0
2,2019-07-26,10,Unknown,Unknown,5.25,1.73,2.0,3.68,0.0,1.0,0.5,1.5
0,2019-07-26,10,Augsburg,Unknown,2.65,2.8,0.5,3.32,0.5,0.5,2.0,1.0
0,2019-07-26,1,SK Rapid,Salzburg,1.9,3.73,0.0,3.95,0.0,0.0,0.0,0.0
2,2019-07-26,6,Dynamo Moscow,Dundee United,5.37,1.68,0.5,3.8,3.0,0.5,1.0,3.0
0,2019-07-26,10,Bournemouth,Sonderjyske,2.13,3.21,1.5,3.83,2.0,1.5,2.0,1.5
1,2019-07-27,4,Ein Frankfurt,Pachuca,1.8,4.25,0.0,3.8,0.0,0.0,0.0,1.0
1,2019-07-27,10,Unknown,Unknown,4.98,1.76,2.0,3.72,1.0,2.0,1.0,0.0
2,2019-07-27,10,CFR Cluj,Din. Bucuresti,7.37,1.5,2.0,3.9,0.0,2.5,1.0,0.0
0,2019-07-27,1,Unknown,Wolfsberger AC,1.88,3.86,0.0,3.96,0.0,0.0,0.0,0.0
2,2019-07-27,1,Tirol,Austria Vienna,1.97,3.68,0.0,3.71,0.0,0.0,0.0,0.0
2,2019-07-27,6,Dortmund,Krylya Sovetov,3.47,2.37,0.0,3.0,1.5,2.0,3.0,2.0
2,2019-07-27,6,Krasnodar,Sochi,9.17,1.34,1.5,5.24,0.0,1.5,1.5,0.0
2,2019-07-27,6,Coventry,Spartak Moscow,1.86,4.57,0.0,3.45,2.0,1.0,2.0,1.5
1,2019-07-27,9,Servette,Sion,4.6,1.74,1.0,4.2,0.0,1.0,1.0,1.0
0,2019-07-27,4,Bristol City,Atlas,3.79,1.97,0.0,3.66,3.0,2.0,4.0,1.0
0,2019-07-27,10,Besiktas,FC Copenhagen,1.63,5.62,1.5,3.93,3.0,1.5,1.5,2.5
0,2019-07-27,9,Basel,St. Gallen,8.83,1.33,3.0,5.4,0.0,4.0,1.0,0.0
1,2019-07-28,4,Club Tijuana,Queretaro,4.7,1.79,3.0,3.66,3.0,3.0,1.0,2.0
2,2019-07-28,4,UNAM Pumas,Necaxa,3.79,2.12,3.0,3.42,1.0,2.0,0.0,0.0
2,2019-07-28,4,Atl. San Luis,Monterrey,1.91,3.81,0.0,3.78,0.0,0.0,2.0,2.0
2,2019-07-28,10,Unknown,Unknown,8.07,1.47,3.0,4.15,0.5,2.5,1.0,1.0
2,2019-07-28,10,Unknown,FC Hermannstadt,7.0,1.55,3.0,3.86,0.0,3.0,0.0,1.5
2,2019-07-28,1,Braunschweig,Hartberg,3.89,1.88,0.0,3.91,0.0,0.0,0.0,0.0
0,2019-07-28,10,Aberdeen,Midtjylland,2.14,3.32,0.5,3.66,3.0,1.0,1.5,1.5
2,2019-07-28,1,LASK,Altach,6.58,1.5,0.0,4.35,0.0,0.0,0.0,0.0
2,2019-07-28,10,Nordsjaelland,Aston Villa,3.69,2.01,1.5,3.62,0.5,2.0,1.0,0.5
